"strain"	"virus"	"date"	"GISAID_clade"	"country_exposure"	"division_exposure"	"period"	"source"
"NorthernIreland/NIRE-102270/2020"	"SARS-CoV-2"	"2020-03-10"	"L"	"United Kingdom"	"Northern Ireland"	"B"	"Non-USA"
"England/201161290/2020"	"SARS-CoV-2"	"2020-03-10"	"V"	"United Kingdom"	"England"	"B"	"Non-USA"
"England/20109002404/2020"	"SARS-CoV-2"	"2020-03-03"	"GR"	"United Kingdom"	"England"	"B"	"Non-USA"
"Wuhan/HB-WHCM-116/2020"	"SARS-CoV-2"	"2020-02-26"	"S"	"China"	"Hubei"	"B"	"Non-USA"
"Netherlands/NoordBrabant_75/2020"	"SARS-CoV-2"	"2020-03-09"	"L"	"Netherlands"	"North Brabant"	"B"	"Non-USA"
"England/20104004704/2020"	"SARS-CoV-2"	"2020-03-02"	"GR"	"United Kingdom"	"England"	"B"	"Non-USA"
"Denmark/ALAB-SSI107/2020"	"SARS-CoV-2"	"2020-03-07"	"GH"	"Denmark"	"Denmark"	"B"	"Non-USA"
"HongKong/CUHK2/2020"	"SARS-CoV-2"	"2020-02-19"	"O"	"Hong Kong"	"Hong Kong"	"B"	"Non-USA"
"Switzerland/100012/2020"	"SARS-CoV-2"	"2020-03-06"	"G"	"Switzerland"	"Ticino"	"B"	"Non-USA"
"Netherlands/Delft_1363424/2020"	"SARS-CoV-2"	"2020-02-28"	"GR"	"Italy"	"Italy"	"B"	"Non-USA"
"Wuhan/HB-WH1-137/2020"	"SARS-CoV-2"	"2020-03-03"	"L"	"China"	"Hubei"	"B"	"Non-USA"
"Sichuan/SC-PHCC2-051/2020"	"SARS-CoV-2"	"2020-02-09"	"S"	"China"	"Sichuan"	"B"	"Non-USA"
"England/201180331/2020"	"SARS-CoV-2"	"2020-03-10"	"G"	"United Kingdom"	"England"	"B"	"Non-USA"
"France/HF2234/2020"	"SARS-CoV-2"	"2020-03-10"	"GH"	"France"	"Hauts de France"	"B"	"Non-USA"
"Denmark/ALAB-SSI253/2020"	"SARS-CoV-2"	"2020-03-10"	"GH"	"Denmark"	"Denmark"	"B"	"Non-USA"
"Australia/NSW63/2020"	"SARS-CoV-2"	"2020-03-10"	"O"	"Australia"	"New South Wales"	"B"	"Non-USA"
"Shanghai/SH0077/2020"	"SARS-CoV-2"	"2020-02-09"	"L"	"China"	"Shanghai"	"B"	"Non-USA"
"Canada/ON_SHSC-01/2020"	"SARS-CoV-2"	"2020-02-26"	"O"	"Iran"	"Iran"	"B"	"Non-USA"
"Germany/NRW-03/2020"	"SARS-CoV-2"	"2020-02-26"	"L"	"Germany"	"North Rhine Westphalia"	"B"	"Non-USA"
