strain	virus	date	GISAID_clade	country_exposure	division_exposure	period	source
197|ETA|20200330	SARS-CoV-2	2020-03-30	X	USA	Pennsylvania	C	PA
203|ETA|20200408	SARS-CoV-2	2020-04-08	X	USA	Pennsylvania	C	PA
209|ETA|20200408	SARS-CoV-2	2020-04-08	X	USA	Pennsylvania	C	PA
210|ETA|20200408	SARS-CoV-2	2020-04-08	X	USA	Pennsylvania	C	PA
211|ET|20200413	SARS-CoV-2	2020-04-13	X	USA	Pennsylvania	C	PA
211|ETA|20200413	SARS-CoV-2	2020-04-13	X	USA	Pennsylvania	C	PA
211|NP|20200408	SARS-CoV-2	2020-04-08	X	USA	Pennsylvania	C	PA
211|OP|20200413	SARS-CoV-2	2020-04-13	X	USA	Pennsylvania	C	PA
213|ETA|20200415	SARS-CoV-2	2020-04-15	X	USA	Pennsylvania	C	PA
219|ETA|20200417	SARS-CoV-2	2020-04-17	X	USA	Pennsylvania	C	PA
222|NP|20200417	SARS-CoV-2	2020-04-17	X	USA	Pennsylvania	C	PA
222|OP|20200417	SARS-CoV-2	2020-04-17	X	USA	Pennsylvania	C	PA
222|OP|20200420	SARS-CoV-2	2020-04-20	X	USA	Pennsylvania	C	PA
223|OP|20200417	SARS-CoV-2	2020-04-17	X	USA	Pennsylvania	C	PA
227|OP|20200422	SARS-CoV-2	2020-04-22	X	USA	Pennsylvania	C	PA
228|NP|20200422	SARS-CoV-2	2020-04-22	X	USA	Pennsylvania	C	PA
228|NP-OP|20200424	SARS-CoV-2	2020-04-24	X	USA	Pennsylvania	C	PA
228|NP-OP|20200529	SARS-CoV-2	2020-05-29	X	USA	Pennsylvania	C	PA
228|Saliva|20200529	SARS-CoV-2	2020-05-29	X	USA	Pennsylvania	C	PA
234|NP-OP-HI|20200424	SARS-CoV-2	2020-04-24	X	USA	Pennsylvania	C	PA
235|NP-OP|20200424	SARS-CoV-2	2020-04-24	X	USA	Pennsylvania	C	PA
237|NP|20200429	SARS-CoV-2	2020-04-29	X	USA	Pennsylvania	C	PA
237|NP-OP|20200427	SARS-CoV-2	2020-04-27	X	USA	Pennsylvania	C	PA
237|OP|20200429	SARS-CoV-2	2020-04-29	X	USA	Pennsylvania	C	PA
238|NP|20200429	SARS-CoV-2	2020-04-29	X	USA	Pennsylvania	C	PA
239|NP|20200429	SARS-CoV-2	2020-04-29	X	USA	Pennsylvania	C	PA
239|OP|20200429	SARS-CoV-2	2020-04-29	X	USA	Pennsylvania	C	PA
240|NP-OP|20200501	SARS-CoV-2	2020-05-01	X	USA	Pennsylvania	C	PA
242|ETA|20200504	SARS-CoV-2	2020-05-04	X	USA	Pennsylvania	C	PA
242|NP|20200429	SARS-CoV-2	2020-04-29	X	USA	Pennsylvania	C	PA
242|NP-OP|20200501	SARS-CoV-2	2020-05-01	X	USA	Pennsylvania	C	PA
242|OP|20200429	SARS-CoV-2	2020-04-29	X	USA	Pennsylvania	C	PA
247|NP-OP|20200501	SARS-CoV-2	2020-05-01	X	USA	Pennsylvania	C	PA
251|ETA|20200506	SARS-CoV-2	2020-05-06	X	USA	Pennsylvania	C	PA
251|NP-OP|20200504	SARS-CoV-2	2020-05-04	X	USA	Pennsylvania	C	PA
251|NP-OP|20200506	SARS-CoV-2	2020-05-06	X	USA	Pennsylvania	C	PA
256|ETA|20200508	SARS-CoV-2	2020-05-08	X	USA	Pennsylvania	C	PA
256|ETA|20200511	SARS-CoV-2	2020-05-11	X	USA	Pennsylvania	C	PA
256|NP-OP|20200508	SARS-CoV-2	2020-05-08	X	USA	Pennsylvania	C	PA
257|NP-OP|20200508	SARS-CoV-2	2020-05-08	X	USA	Pennsylvania	C	PA
261|ETA|20200515	SARS-CoV-2	2020-05-15	X	USA	Pennsylvania	C	PA
262|NP-OP|20200515	SARS-CoV-2	2020-05-15	X	USA	Pennsylvania	C	PA
263|ETA|20200515	SARS-CoV-2	2020-05-15	X	USA	Pennsylvania	C	PA
263|NP-OP|20200515	SARS-CoV-2	2020-05-15	X	USA	Pennsylvania	C	PA
266|NP-OP|20200520	SARS-CoV-2	2020-05-20	X	USA	Pennsylvania	C	PA
266|NP-OP|20200522	SARS-CoV-2	2020-05-22	X	USA	Pennsylvania	C	PA
269|ETA|20200527	SARS-CoV-2	2020-05-27	X	USA	Pennsylvania	C	PA
269|ETA|20200612	SARS-CoV-2	2020-06-12	X	USA	Pennsylvania	C	PA
269|NP-OP|20200522	SARS-CoV-2	2020-05-22	X	USA	Pennsylvania	C	PA
