strain	virus	date	pangolin_lineage	GISAID_clade	country_exposure	division_exposure	period	source
HongKong/HKU-907a/2020	SARS-CoV-2	2020-01-27	A	S	Hong Kong	Hong Kong	A	Non-USA
Japan/TY-WK-501/2020	SARS-CoV-2	2020-01-31	A	S	Japan	Tokyo	A	Non-USA
Singapore/15/2020	SARS-CoV-2	2020-01-27	A	S	Singapore	Singapore	A	Non-USA
USA/AZ1/2020	SARS-CoV-2	2020-01-22	A	S	China	Hubei	A	Non-USA
Ganzhou/JX81/2020	SARS-CoV-2	2020-01-25	A	S	China	Jiangxi	A	Non-USA
Taiwan/3/2020	SARS-CoV-2	2020-01-24	A	S	Taiwan	Taiwan	A	Non-USA
Taiwan/NTU01/2020	SARS-CoV-2	2020-01-31	A	S	China	Hubei	A	Non-USA
Wuhan/0126-C106/2020	SARS-CoV-2	2020-01-26	A	S	China	Hubei	A	Non-USA
Sichuan/SC-WCH4-287/2020	SARS-CoV-2	2020-01-30	A	O	China	Sichuan	A	Non-USA
Australia/NSW04/2020	SARS-CoV-2	2020-01-24	A	S	Australia	New South Wales	A	Non-USA
England/02/2020	SARS-CoV-2	2020-01-29	A	S	China	Hubei	A	Non-USA
England/01/2020	SARS-CoV-2	2020-01-29	A	S	China	Hubei	A	Non-USA
Shanghai/SH0035/2020	SARS-CoV-2	2020-01-30	A	S	China	Shanghai	A	Non-USA
Yunnan/IVDC-YN-003/2020	SARS-CoV-2	2020-01-17	A	S	China	Yunnan	A	Non-USA
USA/CA1/2020	SARS-CoV-2	2020-01-23	A	S	China	Hubei	A	Non-USA
India/1-31/2020	SARS-CoV-2	2020-01-31	A	S	China	China	A	Non-USA
Malaysia/MKAK-CL-2020-5096/2020	SARS-CoV-2	2020-01-30	A	S	Malaysia	Selangor	A	Non-USA
Singapore/20/2020	SARS-CoV-2	2020-01-29	A	S	Singapore	Singapore	A	Non-USA
HongKong/HKU-001a/2020	SARS-CoV-2	2020-01-22	A	S	Hong Kong	Hong Kong	A	Non-USA
Malaysia/IMR_WC119/2020	SARS-CoV-2	2020-01-30	A	S	Malaysia	Selangor	A	Non-USA
Shanghai/SH0009/2020	SARS-CoV-2	2020-01-29	A	S	China	Shanghai	A	Non-USA
Australia/VIC13/2020	SARS-CoV-2	2020-01-31	A	S	Australia	Victoria	A	Non-USA
HongKong/VM20001061-2/2020	SARS-CoV-2	2020-01-22	A	S	Hong Kong	Hong Kong	A	Non-USA
Australia/QLD01/2020	SARS-CoV-2	2020-01-28	A	S	China	Hubei	A	Non-USA
SouthKorea/KCDC07/2020	SARS-CoV-2	2020-01-31	A	S	South Korea	Seoul	A	Non-USA
SouthKorea/KCDC2002/2020	SARS-CoV-2	2020-01-30	A	S	South Korea	South Korea	A	Non-USA
Australia/NSW01/2020	SARS-CoV-2	2020-01-24	A	S	China	Hubei	A	Non-USA
Japan/TY-WK-521/2020	SARS-CoV-2	2020-01-31	A	S	Japan	Tokyo	A	Non-USA
SouthKorea/KCDC06/2020	SARS-CoV-2	2020-01-30	A	S	South Korea	Seoul	A	Non-USA
Australia/QLD02/2020	SARS-CoV-2	2020-01-30	A	S	Australia	Queensland	A	Non-USA
SouthKorea/KCDC03/2020	SARS-CoV-2	2020-01-25	A	S	South Korea	Gyeonggi Province	A	Non-USA
Wuhan/WHUH020/2020	SARS-CoV-2	2020-01-22	A	S	China	Hubei	A	Non-USA
Singapore/466/2020	SARS-CoV-2	2020-01-31	A	S	Singapore	Singapore	A	Non-USA
SouthKorea/KCDC2062/2020	SARS-CoV-2	2020-01-31	A	S	South Korea	South Korea	A	Non-USA
USA/IL2/2020	SARS-CoV-2	2020-01-28	A.3	S	China	Hubei	A	Non-USA
Thailand/Bangkok_238/2020	SARS-CoV-2	2020-01-31	A.6	S	Thailand	Bangkok	A	Non-USA
Thailand/SI200468-NT/2020	SARS-CoV-2	2020-01-25	A.6	S	Thailand	Thailand	A	Non-USA
Thailand/SI203285-NT/2020	SARS-CoV-2	2020-01-23	A.6	S	Thailand	Thailand	A	Non-USA
Vietnam/19-02S/2020	SARS-CoV-2	2020-01-22	B	L	Vietnam	Ho Chi Minh City	A	Non-USA
Thailand/NIH-162/2020	SARS-CoV-2	2020-01-22	B	L	Thailand	Samut Prakarn	A	Non-USA
USA/IL1/2020	SARS-CoV-2	2020-01-21	B	O	China	Hubei	A	Non-USA
Canada/ON_ON-VIDO-01-2/2020	SARS-CoV-2	2020-01-23	B	L	Canada	Ontario	A	Non-USA
Thailand/Nonthaburi_68/2020	SARS-CoV-2	2020-01-15	B	L	Thailand	Nonthaburi	A	Non-USA
Jiangsu/IVDC-JS-001/2020	SARS-CoV-2	2020-01-19	B	L	China	Jiangsu	A	Non-USA
USA/CA6/2020	SARS-CoV-2	2020-01-27	B	L	China	Hubei	A	Non-USA
Taiwan/8/2020	SARS-CoV-2	2020-01-31	B	L	Taiwan	Taiwan	A	Non-USA
Thailand/Phuket_247/2020	SARS-CoV-2	2020-01-25	B	L	Thailand	Phuket	A	Non-USA
