strain	virus	date	pangolin_lineage	GISAID_clade	country_exposure	division_exposure	period	source
HongKong/HKU-907a/2020	SARS-CoV-2	2020-01-27	A	S	Hong Kong	Hong Kong	B	Non-USA
Japan/TY-WK-501/2020	SARS-CoV-2	2020-01-31	A	S	Japan	Tokyo	B	Non-USA
Singapore/15/2020	SARS-CoV-2	2020-01-27	A	S	Singapore	Singapore	B	Non-USA
USA/AZ1/2020	SARS-CoV-2	2020-01-22	A	S	China	Hubei	B	Non-USA
Ganzhou/JX81/2020	SARS-CoV-2	2020-01-25	A	S	China	Jiangxi	B	Non-USA
Taiwan/3/2020	SARS-CoV-2	2020-01-24	A	S	Taiwan	Taiwan	B	Non-USA
Taiwan/NTU01/2020	SARS-CoV-2	2020-01-31	A	S	China	Hubei	B	Non-USA
Wuhan/0126-C106/2020	SARS-CoV-2	2020-01-26	A	S	China	Hubei	B	Non-USA
Sichuan/SC-WCH4-287/2020	SARS-CoV-2	2020-01-30	A	O	China	Sichuan	B	Non-USA
Australia/NSW04/2020	SARS-CoV-2	2020-01-24	A	S	Australia	New South Wales	B	Non-USA
England/02/2020	SARS-CoV-2	2020-01-29	A	S	China	Hubei	B	Non-USA
England/01/2020	SARS-CoV-2	2020-01-29	A	S	China	Hubei	B	Non-USA
Shanghai/SH0035/2020	SARS-CoV-2	2020-01-30	A	S	China	Shanghai	B	Non-USA
Yunnan/IVDC-YN-003/2020	SARS-CoV-2	2020-01-17	A	S	China	Yunnan	B	Non-USA
USA/CA1/2020	SARS-CoV-2	2020-01-23	A	S	China	Hubei	B	Non-USA
India/1-31/2020	SARS-CoV-2	2020-01-31	A	S	China	China	B	Non-USA
Malaysia/MKAK-CL-2020-5096/2020	SARS-CoV-2	2020-01-30	A	S	Malaysia	Selangor	B	Non-USA
Singapore/20/2020	SARS-CoV-2	2020-01-29	A	S	Singapore	Singapore	B	Non-USA
HongKong/HKU-001a/2020	SARS-CoV-2	2020-01-22	A	S	Hong Kong	Hong Kong	B	Non-USA
Malaysia/IMR_WC119/2020	SARS-CoV-2	2020-01-30	A	S	Malaysia	Selangor	B	Non-USA
Shanghai/SH0009/2020	SARS-CoV-2	2020-01-29	A	S	China	Shanghai	B	Non-USA
Australia/VIC13/2020	SARS-CoV-2	2020-01-31	A	S	Australia	Victoria	B	Non-USA
HongKong/VM20001061-2/2020	SARS-CoV-2	2020-01-22	A	S	Hong Kong	Hong Kong	B	Non-USA
Australia/QLD01/2020	SARS-CoV-2	2020-01-28	A	S	China	Hubei	B	Non-USA
SouthKorea/KCDC07/2020	SARS-CoV-2	2020-01-31	A	S	South Korea	Seoul	B	Non-USA
SouthKorea/KCDC2002/2020	SARS-CoV-2	2020-01-30	A	S	South Korea	South Korea	B	Non-USA
Australia/NSW01/2020	SARS-CoV-2	2020-01-24	A	S	China	Hubei	B	Non-USA
Japan/TY-WK-521/2020	SARS-CoV-2	2020-01-31	A	S	Japan	Tokyo	B	Non-USA
SouthKorea/KCDC06/2020	SARS-CoV-2	2020-01-30	A	S	South Korea	Seoul	B	Non-USA
Australia/QLD02/2020	SARS-CoV-2	2020-01-30	A	S	Australia	Queensland	B	Non-USA
SouthKorea/KCDC03/2020	SARS-CoV-2	2020-01-25	A	S	South Korea	Gyeonggi Province	B	Non-USA
Wuhan/WHUH020/2020	SARS-CoV-2	2020-01-22	A	S	China	Hubei	B	Non-USA
Singapore/466/2020	SARS-CoV-2	2020-01-31	A	S	Singapore	Singapore	B	Non-USA
SouthKorea/KCDC2062/2020	SARS-CoV-2	2020-01-31	A	S	South Korea	South Korea	B	Non-USA
USA/IL2/2020	SARS-CoV-2	2020-01-28	A.3	S	China	Hubei	B	Non-USA
Thailand/Bangkok_238/2020	SARS-CoV-2	2020-01-31	A.6	S	Thailand	Bangkok	B	Non-USA
Thailand/SI200468-NT/2020	SARS-CoV-2	2020-01-25	A.6	S	Thailand	Thailand	B	Non-USA
Thailand/SI203285-NT/2020	SARS-CoV-2	2020-01-23	A.6	S	Thailand	Thailand	B	Non-USA
Vietnam/19-02S/2020	SARS-CoV-2	2020-01-22	B	L	Vietnam	Ho Chi Minh City	B	Non-USA
