strain	virus	date	GISAID_clade	country_exposure	division_exposure	period	source
197|ETA|20200330	SARS-CoV-2	2020-03-30	X	USA	Pennsylvania	C	Philadelphia
203|ETA|20200408	SARS-CoV-2	2020-04-08	X	USA	Pennsylvania	C	Philadelphia
209|ETA|20200408	SARS-CoV-2	2020-04-08	X	USA	Pennsylvania	C	Philadelphia
210|ETA|20200408	SARS-CoV-2	2020-04-08	X	USA	Pennsylvania	C	Philadelphia
211|ET|20200413	SARS-CoV-2	2020-04-13	X	USA	Pennsylvania	C	Philadelphia
211|ETA|20200413	SARS-CoV-2	2020-04-13	X	USA	Pennsylvania	C	Philadelphia
211|NP|20200408	SARS-CoV-2	2020-04-08	X	USA	Pennsylvania	C	Philadelphia
211|OP|20200413	SARS-CoV-2	2020-04-13	X	USA	Pennsylvania	C	Philadelphia
213|ETA|20200415	SARS-CoV-2	2020-04-15	X	USA	Pennsylvania	C	Philadelphia
219|ETA|20200417	SARS-CoV-2	2020-04-17	X	USA	Pennsylvania	C	Philadelphia
222|NP|20200417	SARS-CoV-2	2020-04-17	X	USA	Pennsylvania	C	Philadelphia
222|OP|20200417	SARS-CoV-2	2020-04-17	X	USA	Pennsylvania	C	Philadelphia
222|OP|20200420	SARS-CoV-2	2020-04-20	X	USA	Pennsylvania	C	Philadelphia
223|OP|20200417	SARS-CoV-2	2020-04-17	X	USA	Pennsylvania	C	Philadelphia
227|OP|20200422	SARS-CoV-2	2020-04-22	X	USA	Pennsylvania	C	Philadelphia
228|NP|20200422	SARS-CoV-2	2020-04-22	X	USA	Pennsylvania	C	Philadelphia
228|NP-OP|20200424	SARS-CoV-2	2020-04-24	X	USA	Pennsylvania	C	Philadelphia
228|NP-OP|20200529	SARS-CoV-2	2020-05-29	X	USA	Pennsylvania	C	Philadelphia
228|Saliva|20200529	SARS-CoV-2	2020-05-29	X	USA	Pennsylvania	C	Philadelphia
234|NP-OP-HI|20200424	SARS-CoV-2	2020-04-24	X	USA	Pennsylvania	C	Philadelphia
235|NP-OP|20200424	SARS-CoV-2	2020-04-24	X	USA	Pennsylvania	C	Philadelphia
237|NP|20200429	SARS-CoV-2	2020-04-29	X	USA	Pennsylvania	C	Philadelphia
237|NP-OP|20200427	SARS-CoV-2	2020-04-27	X	USA	Pennsylvania	C	Philadelphia
237|OP|20200429	SARS-CoV-2	2020-04-29	X	USA	Pennsylvania	C	Philadelphia
238|NP|20200429	SARS-CoV-2	2020-04-29	X	USA	Pennsylvania	C	Philadelphia
239|NP|20200429	SARS-CoV-2	2020-04-29	X	USA	Pennsylvania	C	Philadelphia
239|OP|20200429	SARS-CoV-2	2020-04-29	X	USA	Pennsylvania	C	Philadelphia
240|NP-OP|20200501	SARS-CoV-2	2020-05-01	X	USA	Pennsylvania	C	Philadelphia
242|ETA|20200504	SARS-CoV-2	2020-05-04	X	USA	Pennsylvania	C	Philadelphia
242|NP|20200429	SARS-CoV-2	2020-04-29	X	USA	Pennsylvania	C	Philadelphia
242|NP-OP|20200501	SARS-CoV-2	2020-05-01	X	USA	Pennsylvania	C	Philadelphia
242|OP|20200429	SARS-CoV-2	2020-04-29	X	USA	Pennsylvania	C	Philadelphia
247|NP-OP|20200501	SARS-CoV-2	2020-05-01	X	USA	Pennsylvania	C	Philadelphia
251|ETA|20200506	SARS-CoV-2	2020-05-06	X	USA	Pennsylvania	C	Philadelphia
251|NP-OP|20200504	SARS-CoV-2	2020-05-04	X	USA	Pennsylvania	C	Philadelphia
251|NP-OP|20200506	SARS-CoV-2	2020-05-06	X	USA	Pennsylvania	C	Philadelphia
256|ETA|20200508	SARS-CoV-2	2020-05-08	X	USA	Pennsylvania	C	Philadelphia
257|NP-OP|20200508	SARS-CoV-2	2020-05-08	X	USA	Pennsylvania	C	Philadelphia
261|ETA|20200515	SARS-CoV-2	2020-05-15	X	USA	Pennsylvania	C	Philadelphia
262|NP-OP|20200515	SARS-CoV-2	2020-05-15	X	USA	Pennsylvania	C	Philadelphia
263|ETA|20200515	SARS-CoV-2	2020-05-15	X	USA	Pennsylvania	C	Philadelphia
